id,name,singer,detected_key,confidence,first_chord,last_chord,num_chords,status,final_key
2000232,"ברחוב הנשמות הטהורות","הנשמות הטהורות",E,0.68,G,Am,113,ok,E
2000234,"בתוך","דפנה ארמוני",Em,1,Em,Em,142,ok,Em
2000236,"רכבת לילה לקהיר","משינה",A,1,A,A,94,ok,A
2000237,"הריקוד המוזר של הלב","רונה קינן וגידי גוב",Fm,1,Fm,Fm,134,ok,Fm
2000238,"עוד יהיה לי","מרגלית צנעני",C,1,F,C,149,ok,C
2000239,"מבול","קרן פלס",Am,1,Am,E,115,ok,Am
2000240,"אל תשטה באהבה","יהורם גאון",D,1,D,D,84,ok,D
2000242,"שאריות של החיים","הפרוייקט של עידן רייכל",D,1,D,F#m,66,ok,D
2000244,"תלבשי לבן","הדודאים והפרברים",Em,1,Em,Fm,157,ok,Em
2000246,"עומד בשער","עמיר בניון",Dm,1,Dm,Dm,147,ok,Dm
2000247,"נסיך החלומות (ולנטינו)","גלי עטרי",Am,1,Am,Bbm,128,ok,Am
2000248,"מתוק מתוק","יגאל בשן",C,1,G,C,145,ok,C
2000249,"אני רוצה גם","יהודה פוליקר",E,1,E,E,62,ok,E
2000250,"האיש ההוא","שלמה ארצי",C,0.73,F,C,154,ok,C
2000252,"השיר על תוכי יוסי","אריק איינשטיין",G,1,G,G,107,ok,G
2000254,"או שאתה שר או שלוקחים אותך מפה","אלון אולארצ'יק",A,1,A,E,129,ok,A
2000255,"שער הרחמים","מאיר בנאי",Em,1,Em,Em,97,ok,Em
2000256,"מחר אני בבית","אתניקס",Am,1,Am,Am,130,ok,Am
2000257,"טיפות","עילי בוטנר וילדי החוץ",Em,0.41,Em,Am,93,low-confidence,Em
2000258,"אמא שלי","אריק איינשטיין",G,0.57,D,Eb,112,ok,G
2000259,"שוב הדיסקו כאן","הדורבנים",Am,1,Am,Dm,90,ok,Am
2000260,"שיר לשירה","מירי מסיקה",A,1,A,A,150,ok,A
2000262,"אני תמיד נשאר אני","עוזי חיטמן",G,1,G,G,72,ok,G
2000263,"שירי ילדות","עוזי חיטמן",Am,0.97,Am,Bm,211,ok,Am
2000264,"נולדתי לשלום","עוזי חיטמן",Am,1,Am,Am,138,ok,Am
2000265,"זה מה שנשאר","שלמה ארצי",A,1,Bm,A,94,ok,A
2000266,"לא עוזב את העיר","שלמה ארצי",Em,1,Em,E,131,ok,Em
2000267,"בלדה לשוטר","אושיק לוי",Am,1,Am,Am,76,ok,Am
2000268,"תביא קצת דינרוס","אתניקס",Dm,1,Dm,Dm,77,ok,Dm
2000269,"אני שוב מתאהב","גידי גוב",G,1,G,G,167,ok,G
2000270,"משהו חדש מתחיל","דני רובס",G,0.92,G,A,101,ok,G
2000271,"ברית עולם","מתי כספי",Am,0.98,F#m,Am,164,ok,Am
2000272,"מה שהלב בחר","קובי אפללו",G,1,G,G,123,ok,G
2000273,"בא מן השתיקה","קובי אפללו",Am,0.93,C,Am,154,ok,Am
2000274,"כל מה שנשאר","בוטן מתוק בקרקס",G,0.41,G,G,89,low-confidence,G
2000275,"מעלה מעלה","צביקה פיק",E,1,E,E,106,ok,E
2000276,"BMW שחורה","אתניקס",Dm,1,Am,Dm,96,ok,Dm
2000277,"אבניבי","יזהר כהן",Am,1,F,Bbm,69,ok,Am
2000278,"עולה עולה","יזהר כהן",Dm,1,Dm,Ebm,142,ok,Dm
2000279,"עינב","ג'יין בורדו",C,0.56,C,D,110,ok,C
2000280,"הפרח בגני","זוהר ארגוב",Am,1,Am,Am,138,ok,Am
2000281,"אבסורד","שלמה ארצי",E,1,E,E,118,ok,E
2000282,"כבר עבר די זמן (מה רצינו להגיד)","שלמה ארצי",Em,1,Em,Em,94,ok,Em
2000283,"שיר בבוקר בבוקר (פתאום קם אדם)","שלמה ארצי",Bm,1,Bm,Bm,131,ok,Bm
2000284,"עלש","שלמה ארצי ושמעון בוסקילה",Em,1,Em,Em,81,ok,Em
2000285,"סיגל","אריס סאן",Em,1,Em,Em,153,ok,Em
2000286,"כל הכבוד","יהורם גאון",Am,0.8,Gm,Am,112,ok,Am
2000287,"אם יוולד לי ילד","גידי גוב",F,1,F,A,166,ok,F
2000289,"רוזה","יהורם גאון",E,1,E,E,79,ok,E
2000290,"חתונה","דני סנדרסון",Em,1,Em,Em,156,ok,Em
2000291,"שיר הטרטע","אתניקס והקומדי סטור",Am,1,Am,F,31,ok,Am
2000292,"ג'סיקה","אתניקס",G,1,Am,G,137,ok,G
2000293,"זודיאק","ירון חדד",Am,1,Am,Am,84,ok,Am
2000294,"נערי שובה אלי (אבק דרכים)","מרגלית צנעני",Em,1,Em,Em,162,ok,Em
2000295,"כמו שאת","דורון מזר",Dm,1,Dm,Dm,88,ok,Dm
2000296,"בוא לריו","יהודית רביץ",Dm,1,Dm,Dm,20,ok,Dm
2000297,"אמא","משה פרץ",Em,1,Em,Em,97,ok,Em
2000298,"לצפון באהבה (אלף שיר לצפון)","יגאל בשן",A,0.42,C,Bb,143,low-confidence,A
2000299,"הייתי בגן עדן","שרית חדד",Em,1,Em,C,111,ok,Em
2000300,"אהבה בסוף הקיץ","צביקה פיק",Am,1,Am,Am,71,ok,Am
2000301,"ערב כחול עמוק","שלמה יידוב, ריטה",Em,1,Am,Em,119,ok,Em
2000302,"רוב השעות","הפרוייקט של עידן רייכל",Am,1,Am,Am,132,ok,Am
2000303,"אני חולם על נעמי","חדוה ודוד",Am,1,Am,Am,144,ok,Am
2000304,"הרבי ג'ו כפרה","טיפקס",Cm,1,Cm,F,69,ok,Cm
2000305,"יושבים בבית קפה","טיפקס",Fm,0.36,Cm,C#m,71,low-confidence,Fm
2000306,"שלוש בלילה","טיפקס",Gm,1,Gm,Gm,109,ok,Gm
2000307,"בת שישים","הגבעטרון",Em,1,G,Em,108,ok,Em
2000308,"תמיד עולה המנגינה","להקת חיל האוויר",C,1,Am,C,97,ok,C
2000310,"אין כבר דרך חזרה","להקת חיל הים",Am,1,Am,Bm,133,ok,Am
2000311,"כאן","אורנה ומשה דץ",Am,1,Am,Bm,106,ok,Am
2000313,"מחרוזת גשר הירקון","החברים של בני",D,1,C,D,265,ok,D
2000314,"שלום לך ארץ נהדרת","יהורם גאון",C,1,G,C,150,ok,C
2000315,"יש לי אהבה פשוטה","הפרברים",C,1,F,C,80,ok,C
2000316,"תפילה (שמור נא עלינו כמו ילדים)","עפרה חזה",Am,1,E,Am,87,ok,Am
2000317,"חי","עפרה חזה",Am,1,Am,Am,132,ok,Am
2000318,"שכשנבוא","אריק איינשטיין",Am,1,Am,Bbm,112,ok,Am
2000319,"השקט שנשאר","שירי מימון",Em,1,Em,Em,87,ok,Em
2000320,"עונות","אביב גפן",C,1,C,C,108,ok,C
2000321,"להשתטות לפעמים","גבי שושן",Am,1,Am,Am,94,ok,Am
2000322,"טלפני טלפני","שלמה ארצי",C#m,0.47,E,Ab,116,low-confidence,C#m
2000323,"פנים אל מול פנים","יהודה פוליקר",C,1,C,C,120,ok,C
2000324,"כוחו של משורר","דני רובס",Em,1,Em,Em,109,ok,Em
2000325,"היא לא תשוב","אתניקס",D,0.52,A,A,165,low-confidence,D
2000326,"רק הד קולך","הפרברים",Em,1,Em,Em,122,ok,Em
2000327,"ניגונה של השכונה","יזהר כהן",Em,1,Em,Em,95,ok,Em
2000328,"קפטן ג'ק","גרי אקשטיין",Em,0.66,C,E,111,ok,Em
2000329,"בכל פעם שאני מתאהב (בך מחדש)","יזהר אשדות",F#m,0.34,F#m,F#m,138,low-confidence,F#m
2000330,"מלדיטה לונה","שלומי שבת ופבלו רוזנברג",Em,1,Em,B,76,ok,Em
2000331,"אבא","שלומי שבת",Am,1,Am,Bm,119,ok,Am
2000332,"לעולם בעקבות השמש","שרי",A,0.41,G,A,111,low-confidence,A
2000333,"ירח","שלמה ארצי",Em,1,Em,Em,123,ok,Em
2000334,"שיר השיירה","אריק איינשטיין",E,1,E,E,46,ok,E
2000335,"מחרוזת שבת","עממי",Am,1,Em,E,173,ok,Am
2000336,"סוד","אדם",Am,0.27,Am,Am,114,low-confidence,Am
2000337,"המסיבה","יהורם גאון",Em,1,Em,Em,132,ok,Em
2000338,"אישה נאמנה","ישי לוי",Dm,1,Dm,Dm,136,ok,Dm
2000339,"שני סיפורי אהבה קטנים","החברים של נטאשה",G,1,G,D,92,ok,G
2000340,"ניצחת איתי הכל","עמיר בניון",C,0.44,C,G,70,low-confidence,C
2000342,"לעוף","הראל סקעת",Am,0.71,Am,Bb,129,ok,Am
2000343,"יש לך אותי","תיסלם",Em,0.75,Em,Gm,145,ok,Em
2000344,"אמרו לו","אריק איינשטיין",C,0.47,Cm,Cm,167,low-confidence,C
2000345,"הכוכב של מחוז גוש דן","אהוד בנאי",Am,1,Am,Am,160,ok,Am
2000346,"עד סוף הקיץ","דני ליטני",Am,1,Am,Am,132,ok,Am
2000347,"עוד לא תמו כל פלאייך (ארצנו הקטנטונת)","רמי קלינשטיין",Em,1,Am,Em,93,ok,Em
2000348,"הופה היי","הופה היי",Am,1,Am,Am,75,ok,Am
2000349,"שיר אהבה ממוחשב","יגאל בשן",C,1,C,C,107,ok,C
2000350,"מכת שמש","יגאל בשן",E,1,E,E,57,ok,E
2000351,"אם רק תדברי","גיא מזיג",D,0.42,C,F#m,208,low-confidence,D
2000352,"כמו צועני","כמו צועני",G,1,G,A,83,ok,G
2000353,"בואי נעשה לנו חג","יגאל בשן",A,1,A,A,110,ok,A
2000354,"אם הייתי שר לך","יגאל בשן",C,1,C,C,119,ok,C
2000355,"אנחנו נשארים בארץ","כמו צועני",G,1,G,Cm,102,ok,G
2000356,"ציגלה ביגלה בום","יגאל בשן",C,1,C,C,72,ok,C
2000357,"שיר הפרחה","עפרה חזה",Am,1,Am,Am,80,ok,Am
2000358,"עודני ילד","הראל סקעת / הכל עובר חביבי",Dm,1,Dm,Ebm,78,ok,Dm
2000359,"הלוואי","בועז שרעבי",Em,1,Em,Fm,124,ok,Em
2000360,"סימנים","הראל מויאל",Am,1,Am,Am,112,ok,Am
2000361,"כל כך יפה לך","רותם כהן",F#m,0.98,F#m,F#m,69,ok,F#m
2000362,"איש של לילה","רוני דלומי",Am,1,Am,Am,117,ok,Am
2000363,"ליל חניה","חנן יובל, ירדנה ארזי, אפרים שמיר",Am,0.68,F,Dm,245,ok,Am
2000364,"ארבע לפנות בוקר","יהודית רביץ",A,1,A,A,124,ok,A
2000365,"מנגב לך את הדמעות","שלמה ארצי",Am,1,Am,Am,114,ok,Am
2000366,"יש לי חברה","טיפקס",Am,1,Am,Am,93,ok,Am
2000367,"הלא נודע","דני סנדרסון",Em,1,Em,Em,144,ok,Em
2000368,"שווים","רן דנקר ועילי בוטנר",Am,1,Am,Am,165,ok,Am
2000369,"מה הדאווין שלך","דני סנדרסון",E,0.47,E,E,86,low-confidence,E
2000370,"אני עושה לי מנגינות","סקסטה",Dm,1,Dm,Ebm,96,ok,Dm
2000371,"הבחורות ההן","יהורם גאון",Dm,1,Dm,Dm,111,ok,Dm
2000372,"אני לא יכולה בלעדיך","דנה אינטרנשיונל",Em,1,Em,Em,99,ok,Em
2000373,"שיירת הרוכבים","הדודאים",Am,1,Am,Am,84,ok,Am
2000374,"גבעת חלפון אינה עונה","הגשש החיוור",Am,1,Am,G,174,ok,Am
2000375,"בשמלה אדומה","להקת הנחל",A,0.31,C,F#m,125,low-confidence,A
2000376,"בשמלה אדומה","מופע הארנבות של דוקטור קספר",Em,0.41,E,Am,119,low-confidence,Em
2000377,"לא יודע מה עובר לך בראש","שלמה ארצי ויעל דקלבאום",C,1,C,C,88,ok,C
2000378,"הלילה","הכל עובר חביבי",C,1,C,Cm,83,ok,C
2000379,"מועקה","אבטיפוס",C,1,C,C,174,ok,C
2000380,"צל ומי באר","הדודאים והפרברים",Am,1,Am,Am,167,ok,Am
2000381,"תנו לגדול בשקט","שלומי שבת",Am,1,Am,Am,130,ok,Am
2000382,"איך הגלגל מסתובב","שמוליק קראוס",E,1,E,E,178,ok,E
2000383,"חתיכת שמיים","שלומי שבת ושלומי שבן",C,0.35,Am,C,54,low-confidence,C
2000384,"הבלדה על השיער הארוך והשיער הקצר","הדודאים",Em,0.9,Am,Em,98,ok,Em
2000385,"שמור על העולם ילד","דוד ד'אור",Gm,1,Gm,D,80,ok,Gm
2000386,"את ואני","שלמה ארצי",C,1,C,C,125,ok,C
2000387,"תגידי","שלמה ארצי",Em,1,Em,Em,70,ok,Em
2000388,"וביניהם","מאיר בנאי",G,1,G,G,33,ok,G
2000389,"נמס בגשם","יהודה פוליקר",C,1,C,C,131,ok,C
2000390,"גאולה","חמי רודנר",G,0.98,G,D,125,ok,G
2000391,"שבט אחים ואחיות","עידן רייכל",Am,1,Am,Am,96,ok,Am
2000392,"רק מתגעגע (מילים)","אייל גולן",,,,,0,no-chords,
2000394,"רוצי שמוליק","אריאל זילבר",C,1,C,C,79,ok,C
2000395,"מחרוזת ראש השנה","עממי",C,1,C,C,84,ok,C
2000396,"דיווה","דנה אינטרנשיונל",Em,1,Em,Em,74,ok,Em
2000397,"ויסקי","ג'יין בורדו",D,1,D,E,81,ok,D
2000398,"מה שיכולנו להיות","רן דנקר ועילי בוטנר",D,0.85,D,Am,116,ok,D
2000399,"יום הולדת","עדן",A,0.89,A,Db,76,ok,A
2000400,"ימים של קיץ","כפיר בן ליש",Am,1,Am,Am,174,ok,Am
2000401,"סתם עוד יום","אוהד חיטמן",D,1,Em,D,130,ok,D
2000402,"אצלי הכל בסדר","בועז שרעבי",Em,1,Em,Gm,93,ok,Em
2000403,"מה הוא עושה לה","גידי גוב ושלומי שבת",Dm,1,Dm,Dm,101,ok,Dm
2000404,"אל תוותרי","הדודאים והפרברים",Em,1,Em,Em,198,ok,Em
2000405,"להציל אותך","שלמה ארצי",Em,1,Am,Em,98,ok,Em
2000406,"אמת או חובה","ריקי גל",Em,1,Em,Em,114,ok,Em
2000407,"היא לא דומה","ארקדי דוכין",A,1,A,A,134,ok,A
2000408,"מרי לו","צביקה פיק",F,0.8,Am,Bbm,106,ok,F
2000409,"יעקב","ללדין",Cm,1,Cm,Bb,107,ok,Cm
2000410,"איש ואישה","נתן כהן",Em,1,Em,B,127,ok,Em
2000411,"תני לי","שמוליק קראוס ומזי כהן",C,1,C,C,116,ok,C
2000412,"הכי קרוב אלייך","עילי בוטנר ואביב אלוש",Dm,1,Dm,A,124,ok,Dm
2000413,"חבק אותי","עילי בוטנר וילדי החוץ",Am,1,Am,Am,89,ok,Am
2000414,"מביט מהצד","אבי דור",C,0.75,Dm,Db,113,ok,C
2000415,"אתם זוכרים את השירים","חנן יובל",Dm,1,Dm,Dm,115,ok,Dm
2000416,"למה לא אמרת לי","אריק לביא",Dm,0.55,Dm,F,81,ok,Dm
2000417,"השיר על ארץ סיני","שלמה ארצי",Am,1,Am,Bbm,145,ok,Am
2000418,"התמונות שבאלבום","חיים משה",Am,1,Am,Am,151,ok,Am
2000419,"פגישה לאין קץ","אריק איינשטיין",Cm,1,Ab,Cm,179,ok,Cm
2000420,"תתארו לכם","שלמה ארצי",C,0.91,Am,C,127,ok,C
2000421,"הבחורה שלי","שלמה ארצי",C,1,C,C,82,ok,C
2000422,"ילדה מרגרינה","נילי בוברובסקי",Am,1,Am,A,125,ok,Am
2000423,"אמא","שלומי שבת ויוסי אזולאי",Am,1,Am,Am,110,ok,Am
2000425,"מחר","אביב גפן",C,0.64,C,C,75,ok,C
2000426,"אחרי הכל את שיר","שלמה ארצי",Am,1,Am,Am,176,ok,Am
2000427,"מישהו פעם","עברי לידר",Dm,0.27,A,Eb,97,low-confidence,Dm
2000428,"ללכת","לירן דנינו",Am,1,Am,Am,99,ok,Am
2000429,"למה","מאיה אברהם",Am,1,Am,Am,95,ok,Am
2000430,"מלודי","איזולירבנד",Am,0.46,C,D,133,low-confidence,Am
2000431,"מקום לצידך","דור דניאל",D,0.81,Em,D,178,ok,D
2000432,"כמו אז","שלמה ארצי",A,0.39,G,E,125,low-confidence,A
2000433,"מותק את אצלי בראש","שלומי שבן",E,1,B,E,90,ok,E
2000434,"שירים עד כאן","צוות חופים",D,0.72,Ebm,E,103,ok,D
2000435,"עדיף","דניאל סלומון",Cm,0.94,C,Cm,80,ok,Cm
2000436,"שלחי אותו","רוני דלומי",Em,1,Em,Em,78,ok,Em
2000437,"אני נושא עימי","שלמה ארצי",Am,0.99,Am,E,89,ok,Am
2000438,"הו רב חובל","מיטל טרבלסי",Am,1,F,Am,173,ok,Am
2000439,"כאב של לוחמים","עידן עמדי",Am,1,Am,Am,75,ok,Am
2000440,"ים של דמעות","זוהר ארגוב",Em,1,Em,Em,85,ok,Em
2000441,"שושנים עצובות","הפרוייקט של עידן רייכל",Em,1,Em,Em,75,ok,Em
2000442,"ארץ הצבר","כמו צועני",Dm,1,Dm,Em,174,ok,Dm
2000443,"בואי נעזוב","רן דנקר ועילי בוטנר",Em,1,Em,Em,159,ok,Em
2000444,"בשקט כמעט בסוד","הפרברים",Em,1,Em,Em,130,ok,Em
2000445,"אבא סיפור","מיקי גבריאלוב",C,1,C,C,116,ok,C
2000446,"כשאת עצובה","עמיר בניון",Em,1,Em,Em,117,ok,Em
2000447,"חלק מהזמן","עידן עמדי",Em,1,Em,Em,114,ok,Em
2000448,"אלוף העולם","חנן בן ארי",Am,0.95,Am,F,104,ok,Am
2000449,"בלילה","הפרוייקט של עידן רייכל",Cm,1,Am,Cm,146,ok,Cm
2000450,"תמיד אהבה","עברי לידר",Cm,1,Cm,Cm,85,ok,Cm
2000451,"אז מה אם את שמנה","עידן חיים דוד",Em,0.92,C,B,126,ok,Em
2000452,"השבת כבר נכנסת","שלומי שבת",Em,1,Em,F#m,67,ok,Em
2000453,"בלב כבד","הפרברים",Em,1,Em,Em,16,ok,Em
2000454,"כל עוד","יוני רכטר",A,1,A,A,167,ok,A
2000455,"אף אחת","מירי מסיקה",Cm,1,Cm,Cm,109,ok,Cm
2000456,"בראשית עולם","שלומי שבת",C,1,C,C,84,ok,C
2000457,"ואני שר","שלומי שבת",D,1,D,D,80,ok,D
2000458,"יש לך","שלומי שבת",Em,1,Em,Em,114,ok,Em
2000459,"עכשיו התור לאהבה","עוזי חיטמן",Dm,1,Dm,Dm,99,ok,Dm
2000460,"ואם תבואי אליי","עידן רייכל",Am,0.62,Am,Am,68,ok,Am
2000461,"שלכת","עמיר בניון",Cm,0.68,Cm,Cm,75,ok,Cm
2000462,"אם תרצי","חנן בן ארי",Am,1,Am,Am,103,ok,Am
2000463,"הזמנה לחתונה","אורי בנאי",A,0.41,A,A,134,low-confidence,A
2000464,"תתנו לו צ׳אנס","מה קשור",Dm,1,Dm,Ebm,69,ok,Dm
2000465,"נוסטלגיה","אביב גפן ושרון ליפשיץ",Gm,0.5,Gm,Gm,75,low-confidence,Gm
2000466,"הבל החן שקר היופי","חיים צינוביץ׳",Am,0.51,Am,Am,106,low-confidence,Am
2000467,"הניחי לי","רמי קלינשטיין",D,1,D,D,125,ok,D
2000468,"תפוחים ותמרים","רמי קלינשטיין",F#m,1,Bm,F#m,82,ok,F#m
2000469,"פעם תורי ופעם תורך","שלמה ארצי",Dm,1,Dm,Dm,140,ok,Dm
2000470,"העולם שמח","כוורת",G,1,G,G,155,ok,G
2000471,"הפינאלי","סאבלימינל והצל",Gm,0.91,Gm,Eb,4,ok,Gm
2000472,"חתולים","ג׳ימבו ג׳יי ורביד פלוטניק",Em,0.37,Am,Em,64,low-confidence,Em
2000473,"אנחנו","גיא מזיג",Em,0.77,Gm,E,150,ok,Em
2000474,"לבד במדבר","גיא מזיג",Bm,1,Bm,Bm,154,ok,Bm
2000475,"בדמעות שאת בוכה","פבלו רוזנברג",Am,0.74,Am,Em,114,ok,Am
2000476,"ככה וככה","שלום חנוך",Am,1,Am,Dm,80,ok,Am
2000477,"גבעת התחמושת","להקת פיקוד דרום",Dm,1,Dm,Dm,129,ok,Dm
2000478,"על כפיו יביא","רבקה זוהר",Am,1,Am,Am,114,ok,Am
2000479,"אור וירושלים","הפרברים",Em,1,Am,Em,137,ok,Em
2000480,"שישו את ירושלים","צמד דרום",Am,1,Am,Am,18,ok,Am
2000481,"לך ירושלים","יהורם גאון",Am,1,Am,Am,87,ok,Am
2000482,"ירושלים של זהב","נעמי שמר",Am,1,Am,Am,144,ok,Am
2000483,"לשוב הביתה","ישי ריבו",D,0.49,Bm,A,106,low-confidence,D
2000484,"מסע","אליעד",Cm,0.97,Cm,Fm,104,ok,Cm
2000485,"רסיסים","רביב כנר",G,0.37,Am,G,87,low-confidence,G
2000486,"עכשיו כולם רוקדים","עידן עמדי",F#m,1,F#m,F#m,94,ok,F#m
2000487,"מי מפחד מגברת לוין","השלושרים",G,1,D,C,100,ok,G
2000488,"סיגליות","דיוויד ברוזה",Am,1,Am,A,149,ok,Am
2000489,"חלומות אחרים","מאיר בנאי",Am,1,Am,E,75,ok,Am
2000490,"הראשונה","משה פרץ",C,0.87,F,C,115,ok,C
2000491,"סוף","נדב כהן",Am,1,Am,Am,108,ok,Am
2000492,"אחרי כל השנים","עומר אדם",Am,1,Am,Am,119,ok,Am
2000493,"כמה פעמים","שירי מימון",D,0.5,F,A,131,low-confidence,D
2000494,"עד סוף העולם","חיים משה ויואב יצחק",Am,1,Dm,Am,99,ok,Am
2000495,"ויקיפדיה","חנן בן ארי",C,1,C,C,97,ok,C
2000496,"תיבת הזמרה נפרדת (על העיר עפות יונים)","הפרברים",Em,1,Em,Em,117,ok,Em
2000497,"החולמים אחר השמש","הפרברים",Am,1,Am,Am,92,ok,Am
2000498,"קול ממדרונות","הפרברים",Dm,0.4,Am,Bbm,202,low-confidence,Dm
2000499,"לילי שלי","השלושרים",G,0.31,Em,G,98,low-confidence,G
2000500,"באת לי פתאום","קרן פלס ורוני אלטר",Cm,1,Cm,Cm,103,ok,Cm
2000501,"שמש","חנן בן ארי",F#m,1,F#m,Bm,109,ok,F#m
2000502,"אמא אם הייתי","חנן בן ארי",Dm,1,Dm,Dm,157,ok,Dm
2000503,"היו לילות","אסתר עופרים",Am,1,Am,Am,127,ok,Am
2000504,"אהבה מעבר לפינה","שרית חדד",Dm,1,Dm,Dm,112,ok,Dm
2000505,"שיר העמק","הפרברים",Em,0.72,G,Em,156,ok,Em
2000506,"בחום של תל אביב (פרחה במרצדס)","שרית חדד",Bb,0.52,Bb,Ebm,92,low-confidence,Bb
2000507,"בגללך","אריק איינשטיין",Em,1,Em,Em,89,ok,Em
2000508,"גברת עם סלים","אריק איינשטיין",G,1,G,G,63,ok,G
2000509,"חייך וחיי","גידי גוב וריטה",Em,0.72,G,E,122,ok,Em
2000510,"שירי לי כנרת","מילי מירן",Bm,1,D,Bm,130,ok,Bm
2000511,"הו מרגנית","מילי מירן",Em,1,Em,Em,154,ok,Em
2000512,"מי תרצי","גידי גוב",E,1,F#m,E,93,ok,E
2000513,"ציפורים נודדות","הפרברים",Dm,1,D,Dm,102,ok,Dm
2000514,"ברוש","אריאל זילבר",G,1,G,G,52,ok,G
2000515,"שתיים בלילה","משה פרץ",C,1,C,Db,99,ok,C
2000516,"בואי נפרד","חמי רודנר",C,1,C,C,156,ok,C
2000517,"השנה החדשה שלי","אוהד חיטמן",Em,1,C,Em,119,ok,Em
2000518,"ואת","הראל סקעת",Em,0.7,Am,Em,95,ok,Em
2000519,"שמיים","יגאל בשן",G,1,G,G,100,ok,G
2000520,"לפעמים","רון שובל",Am,1,Am,Am,83,ok,Am
2000521,"מציאות אחרת","אייל גולן",Dm,1,Dm,Dm,88,ok,Dm
2000522,"ילד אתה שואל","עוזי חיטמן",F,1,F,F,101,ok,F
2000523,"חורף","גידי גוב",Em,0.67,G,Bb,132,ok,Em
2000524,"צל עץ תמר","זוהר ארגוב",Am,1,Am,Am,48,ok,Am
2000525,"רוב הזמן את אשתי","שלמה ארצי",Em,1,Em,Em,113,ok,Em
2000526,"שניים","שלמה ארצי וריטה",Em,1,Em,Em,49,ok,Em
2000527,"לפנייך","אוהד חיטמן",Dm,1,Dm,Dm,142,ok,Dm
2000528,"איילת אהבים","שלישיית גשר הירקון",Em,1,Em,B,77,ok,Em
2000529,"אלוהיי","שלמה ארצי ואברהם טל",Am,1,Am,Am,130,ok,Am
2000530,"זו אותה האהבה","אריק איינשטיין",F,0.48,D,Ab,73,low-confidence,F
2000531,"לי ולך","אריק איינשטיין",C,1,C,C,99,ok,C
2000532,"תזמורת של ממש","עוזי חיטמן",F,1,F,F,158,ok,F
2000533,"שהשמש תעבור עלי","ירדנה ארזי",Am,1,Am,Am,119,ok,Am
2000534,"גידי","שרון ליפשיץ",C,1,C,G,134,ok,C
2000535,"קצת עצבון ערבה","משה דץ",Em,1,Em,Fm,140,ok,Em
2000536,"מקיץ אל חלום","גלי עטרי",Am,1,Am,Am,98,ok,Am
2000537,"ההר הירוק תמיד","הגבעטרון",Em,1,Am,Em,142,ok,Em
2000538,"אתה לי ארץ","ירדנה ארזי",Em,1,B,Em,123,ok,Em
2000539,"מיקה","אפרים שמיר",Em,1,G,E,105,ok,Em
2000540,"סוכר בתה","כוורת",Em,1,Em,Em,11,ok,Em
2000541,"את חירותי","חוה אלברשטיין",Am,1,Am,Am,73,ok,Am
2000542,"כלום לא טעים","קרן פלס",Em,0.56,Em,Gm,95,ok,Em
2000543,"לא אני הוא האיש","צביקה פיק",Em,1,Bm,Em,156,ok,Em
2000544,"ימי התום","ריטה",D,1,D,D,102,ok,D
2000545,"ציפורים כהות עפות לאט מעל העיר","דני רובס",Em,1,Em,Bm,159,ok,Em
2000546,"שיר הרעות","להקת הנחל",Gm,1,Bb,Gm,90,ok,Gm
2000547,"זוהי יפו","אבי טולדנו",Cm,1,Cm,Cm,100,ok,Cm
2000548,"לתת","בועז שרעבי",Em,1,Em,Gm,78,ok,Em
2000549,"פשוט שריונר","להקת גייסות השריון",Em,1,B,Em,206,ok,Em
2000550,"קטיושקה","הגבעטרון",Am,0.65,A,Am,26,ok,Am
2000551,"נעורי זהב","הגבעטרון",Em,1,Em,Em,104,ok,Em
2000552,"חברים","שייקה לוי",Bm,0.4,Em,Cm,111,low-confidence,Bm
2000553,"תחזרי","אייל גולן וארקדי דוכין",C,1,F,C,133,ok,C
2000554,"הורה","אבי טולדנו",Em,0.64,G,Fm,149,ok,Em
2000555,"הפעם האחרונה","רונה קינן וג'יין בורדו",F#m,1,F#m,F#m,114,ok,F#m
2000556,"שבת בבוקר","אריק איינשטיין",E,1,E,E,89,ok,E
2000557,"נשמה שלי","עידן חביב",G,0.75,Em,G,104,ok,G
2000558,"ילד ואבא ואמא","עילי בוטנר וילדי החוץ",Bm,0.7,Bm,Am,127,ok,Bm
2000559,"בללייקה","אילנית",Em,1,Em,Fm,148,ok,Em
2000560,"יד ביד","עפרה חזה",Am,1,Am,A,150,ok,Am
2000561,"מחרוזת הורה","עממי",Am,0.96,C,Am,225,ok,Am
2000562,"מחרוזת שבועות","עממי",Am,0.87,F,G,239,ok,Am
2000563,"אחלה עולם","גידי גוב",C,1,C,C,82,ok,C
2000564,"פסק זמן","אריק איינשטיין",A,0.68,Em,D,100,ok,A
2000565,"סלינו על כתפינו","עממי",C,1,C,C,63,ok,C
2000566,"אבינועם בחור כארז","הדודאים",Am,1,Am,Am,83,ok,Am
2000567,"ציפור שניה","חוה אלברשטיין",Am,1,F,Am,109,ok,Am
2000568,"החיים יפים","אחינועם ניני",E,0.53,E,C#m,98,low-confidence,E
2000569,"דרישת שלום","ירדנה ארזי",Am,1,Am,Am,143,ok,Am
2000570,"מרש הדייגים","הדודאים והפרברים",Am,1,Dm,Am,60,ok,Am
2000571,"היא רוקדת","ירדנה ארזי",Am,1,Am,Bm,101,ok,Am
2000572,"הכינור הנאמן","ירדנה ארזי",Am,1,Am,Am,85,ok,Am
